Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset(s),Clock offset end (s),Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37SMP,SBE37SMP,EAC4200,9173,600,166,3500,4220,1,-27.2518,154.2904,-1382036,-1382036,23/4/12 10:25,24/8/13 22:29,25/8/13 0:17,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4042,300,216,11000,4220,1,-27.2518,154.2904,0,-600,23/4/12 10:25,24/8/13 22:29,25/8/13 0:33,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4044,300,266,11000,4220,1,-27.2518,154.2904,0,-300,23/4/12 10:25,24/8/13 22:29,25/8/13 0:36,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4045,300,316,11000,4220,1,-27.2518,154.2904,0,-900,23/4/12 10:25,24/8/13 22:29,25/8/13 0:46,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4046,300,366,11000,4220,1,-27.2518,154.2904,0,-300,23/4/12 10:25,24/8/13 22:29,25/8/13 0:46,25/8/13 9:33
SBE37SMP,SBE37SMP,EAC4200,9174,600,466,3500,4220,1,-27.2518,154.2904,2,2,23/4/12 10:25,24/8/13 22:29,25/8/13 0:55,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4047,300,566,11000,4220,1,-27.2518,154.2904,0,-600,23/4/12 10:25,24/8/13 22:29,25/8/13 1:00,25/8/13 9:33
RDI ADCP,WHS150,EAC4200,16414,3600,617,1500,4220,0,-27.2518,154.2904,0,-1800,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC4200,T-4048,300,767,11000,4220,1,-27.2518,154.2904,0,-900,23/4/12 10:25,24/8/13 22:29,25/8/13 1:34,25/8/13 9:33
SBE37SMP,SBE37SMP,EAC4200,9175,600,972,3500,4220,1,-27.2518,154.2904,2,2,23/4/12 10:25,24/8/13 22:29,25/8/13 1:35,25/8/13 9:33
Nortek DW,Aquadop DW,EAC4200,A6L-5065 (AQD 9826),1800,1167,6000,4220,0,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC4200,T-4049,300,1170,11000,4220,1,-27.2518,154.2904,0,-900,23/4/12 10:25,24/8/13 22:29,25/8/13 2:20,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4050,300,1267,11000,4220,1,-27.2518,154.2904,0,-900,23/4/12 10:25,24/8/13 22:29,25/8/13 2:20,25/8/13 9:33
Nortek DW,Aquadop DW,EAC4200,A6L-5063 (AQD 9827),1800,1467,6000,4220,0,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC4200,T-4051,300,1472,11000,4220,1,-27.2518,154.2904,0,-1800,23/4/12 10:25,24/8/13 22:29,25/8/13 2:32,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4052,300,1717,11000,4220,1,-27.2518,154.2904,0,-1200,23/4/12 10:25,24/8/13 22:29,25/8/13 2:38,25/8/13 9:33
Nortek DW,Aquadop DW,EAC4200,A6L-4864 (AQD 9840),1800,1967,6000,4220,0,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
Nortek DW,Aquadop DW,EAC4200,A6L-4865 (AQD 9841),1800,2470,3500,4220,1,-27.2518,154.2904,0,5,23/4/12 10:25,24/8/13 22:29,25/8/13 3:58,25/8/13 9:33
SBE37SMP,SBE37SMP,EAC4200,9176,600,2473,6000,4220,1,-27.2518,154.2904,5,0,23/4/12 10:25,24/8/13 22:29,25/8/13 3:31,25/8/13 9:33
Nortek DW,Aquadop DW,EAC4200,A6L-4888 (AQD 9842),1800,2967,6000,4220,0,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC4200,T-4053,300,2973,11000,4220,1,-27.2518,154.2904,0,-600,23/4/12 10:25,24/8/13 22:29,25/8/13 3:56,25/8/13 9:33
Nortek DW,Aquadop DW,EAC4200,A6L-4909 (AQD 9844),1800,3967,6000,4220,0,-27.2518,154.2904,0,1,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
SBE37SMP,SBE37SMP,EAC4200,9191,600,3991,7000,4220,1,-27.2518,154.2904,1,0,23/4/12 10:25,24/8/13 22:29,25/8/13 4:42,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4700,T-4054,300,20,11000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 0:49,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4055,300,40,11000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 0:43,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4002,300,60,11000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 0:38,26/8/13 9:45
Nortek DW,Aquadop DW,EAC4700,A6L-5012 (AQD 9851),1800,80,6000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 1:14,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4057,300,95,11000,4745,1,-27.2086,154.6471,0,0,25/4/12 6:33,25/8/13 23:20,26/8/13 0:32,26/8/13 9:45
Star Oddi,Starmon Mini,EAC4700,T-4058,300,120,11000,4745,1,-27.2086,154.6471,0,-600,25/4/12 6:33,25/8/13 23:20,26/8/13 0:22,26/8/13 9:45
SBE37SMP,SBE37SMP,EAC4700,9177,600,160,3500,4745,1,-27.2086,154.6471,6,6,25/4/12 6:33,25/8/13 23:20,26/8/13 0:25,26/8/13 9:45
